時間戳記,電燈狀態,溫度,濕度
2025-11-29 13:40:32,關,22.52,62.29
2025-11-29 13:45:32,關,24.66,58.22
2025-11-29 13:50:32,開,27.69,58.99
2025-11-29 13:55:32,關,28.97,59.25
2025-11-29 14:00:32,關,24.03,67.27
2025-11-29 14:05:32,關,28.04,65.23
2025-11-29 14:10:32,關,28.75,68.82
2025-11-29 14:15:32,開,28.03,63.96
2025-11-29 14:20:32,關,27.09,61.56
2025-11-29 14:25:32,開,31.93,64.8
2025-11-29 14:30:32,關,22.77,58.36
2025-11-29 14:35:32,關,24.49,67.39
2025-11-29 14:40:32,開,24.82,61.83
2025-11-29 14:45:32,關,23.8,60.85
2025-11-29 14:50:32,關,29.66,63.78
2025-11-29 14:55:32,關,27.96,60.67
2025-11-29 15:00:32,關,30.87,61.67
2025-11-29 15:05:32,關,31.39,57.96
2025-11-29 15:10:32,開,31.58,62.81
2025-11-29 15:15:32,開,30.48,63.32
2025-11-29 15:20:32,開,22.98,67.55
2025-11-29 15:25:32,關,23.17,68.14
2025-11-29 15:30:32,關,28.94,61.56
2025-11-29 15:35:32,關,26.41,64.58
2025-11-29 15:40:32,開,29.03,59.48
2025-11-29 15:45:32,關,29.36,59.88
2025-11-29 15:50:32,關,29.38,59.28
2025-11-29 15:55:32,關,27.43,65.73
2025-11-29 16:00:32,關,28.61,65.1
2025-11-29 16:05:32,關,31.02,60.89
2025-11-29 16:10:32,關,23.76,67.19
2025-11-29 16:15:32,關,23.1,69.14
2025-11-29 16:20:32,關,24.42,55.64
2025-11-29 16:25:32,關,25.32,56.91
2025-11-29 16:30:32,開,28.75,63.5
2025-11-29 16:35:32,開,28.97,58.04
2025-11-29 16:40:32,關,28.57,66.5
2025-11-29 16:45:32,關,29.27,61.76
2025-11-29 16:50:32,關,31.99,62.64
2025-11-29 16:55:32,開,27.93,61.42
2025-11-29 17:00:32,關,23.37,64.19
2025-11-29 17:05:32,開,25.46,65.63
2025-11-29 17:10:32,開,23.69,66.11
2025-11-29 17:15:32,開,28.15,67.19
2025-11-29 17:20:32,關,27.95,58.25
2025-11-29 17:25:32,關,28.57,65.75
2025-11-29 17:30:32,關,28.14,65.75
2025-11-29 17:35:32,關,28.88,69.28
2025-11-29 17:40:32,關,30.0,62.74
2025-11-29 17:45:32,關,30.23,57.13
